0	10	1	955.662
1	7	9	652.728
2	18	14	1562.77
3	10	12	550.671
4	10	7	800.488
5	3	15	1116.42
6	8	16	1440.88
7	17	5	1451.21
8	17	8	1621.24
9	18	17	1453.04
10	8	5	653.347
11	19	15	1144.46
12	20	6	2015.4
13	15	1	1093.11
14	12	18	1014.56
15	6	1	729.882
16	20	11	1757.92
17	6	5	849.778
18	2	1	546.185
19	7	11	833.544
20	6	2	765.303
21	19	17	1268.51
22	18	8	1834.02
23	9	8	1096.18
24	1	10	954.409
25	19	14	1396.67
26	20	4	2091.69
27	6	20	2017.97
28	9	13	982.379
29	4	12	931.203
30	18	15	1058.39
31	3	7	728.825
32	14	15	1013.28
33	2	3	612.996
34	8	17	1629.33
35	9	18	1219.93
36	6	9	642.352
37	15	3	1114.36
38	11	17	993.627
39	9	1	807.807
40	20	12	1744.11
41	6	10	790.291
42	8	11	1279.57
43	12	1	1017.05
44	17	3	1372.87
45	10	14	1121.95
46	18	14	1563.37
47	4	12	931.591
48	14	18	1573.15
49	8	3	756.858
50	8	14	1364.21
51	16	20	1537.86
52	3	6	751.751
53	11	9	737.342
54	6	4	646.633
55	20	16	1540.74
56	16	14	566.914
57	17	18	1449.49
58	9	8	1098.03
59	15	10	682.854
60	10	11	768.92
61	20	8	2469.25
62	14	4	1013.74
63	16	15	1015.94
