0	0	55.3358	55.8525	81.6943	108.796	212.644	202.898	254.596	280.126	406.171
0	0	55.3358	55.8525	81.6943	108.796	212.644	202.898	254.596	280.126	406.171
54.7059	54.7059	0	110.969	105.108	163.912	241.884	250.052	309.712	304.779	430.831
53.354	53.354	111.585	0	99.2902	89.1049	231.592	212.198	234.522	299.074	425.119
74.1208	74.1208	105.767	98.0586	0	176.688	141.404	149.572	322.488	204.604	330.649
106.842	106.842	165.073	89.5367	184.177	0	315.127	299.406	147.392	382.608	508.66
212.566	212.566	241.933	231.005	141.638	315.134	0	9.89504	460.934	138.361	264.413
203.443	203.443	236.872	212.503	136.57	300.404	9.82426	0	445.822	146.175	272.227
253.088	253.088	311.326	235.931	330.429	147.944	461.379	445.808	0	528.861	654.906
279.298	279.298	304.319	297.736	204.321	381.865	138.332	146.019	527.665	0	132.153
405.966	405.966	430.979	424.404	330.981	508.533	264.993	272.68	654.326	131.778	0
