0	3	7	729.882
1	11	2	1013.72
2	11	16	934.346
3	16	7	1084.58
4	16	6	1075.69
5	4	5	687.594
6	11	3	1005.09
7	14	2	1059.35
8	12	14	1123.73
9	15	3	1116.15
10	2	4	603.697
11	8	1	776.303
12	13	15	1006.09
13	6	9	643.261
14	11	10	768.953
15	7	6	493.835
16	2	13	1031.53
17	3	17	1379.31
18	3	13	1093.22
19	15	1	1093.21
20	3	11	1012.71
21	17	5	1451.71
22	12	2	1044.75
23	11	17	994.668
24	7	10	799.146
25	8	3	757.577
26	7	2	757.938
27	10	9	635.601
28	14	9	988.096
29	11	12	705.05
30	9	15	832.803
31	14	17	747.266
32	17	9	1152.07
33	2	6	763.977
34	16	5	1270.1
35	15	17	992.521
36	3	10	977.738
37	11	1	983.152
38	4	11	902.455
39	15	12	617.826
40	13	10	1131.07
41	4	3	596.279
42	17	6	1235.75
43	16	10	1140.18
44	9	8	1095.73
45	12	15	617.721
46	2	1	545.831
47	4	8	858.286
48	2	9	837.244
49	9	4	719.68
50	3	6	752.321
51	3	14	1114.74
