0	0	63	65	85	109	212	218	265	276	393	426	447
0	0	63	65	85	109	212	218	265	276	393	426	447
62	62	0	121	114	164	247	259	320	308	425	458	479
63	63	118	0	111	88	229	224	244	294	410	443	464
81	81	111	106	0	177	142	153	334	203	320	352	373
111	111	165	92	183	0	310	307	165	374	491	524	545
213	213	243	231	144	309	0	19	465	140	257	289	310
216	216	252	223	153	304	19	0	460	154	270	303	324
267	267	321	248	339	165	465	464	0	530	647	679	700
276	276	303	294	203	373	141	153	529	0	133	223	187
392	392	419	410	319	488	257	269	644	131	0	231	61
419	419	446	437	346	515	284	296	671	218	233	0	182
446	446	473	464	374	543	311	324	699	186	63	182	0
