0	0	63	65	85	109	212	218	265	276	393	426	447	462	476	495	541	699	865	964	1295
0	0	63	65	85	109	212	218	265	276	393	426	447	462	476	495	541	699	865	964	1295
62	62	0	121	114	164	247	259	320	308	425	458	479	423	455	527	525	673	897	996	1294
63	63	118	0	111	88	229	224	244	294	410	443	464	495	510	513	574	732	883	981	1328
81	81	111	106	0	177	142	153	334	203	320	352	373	407	421	422	486	644	792	891	1240
111	111	165	92	183	0	310	307	165	374	491	524	545	560	574	593	639	797	963	1062	1393
213	213	243	231	144	309	0	19	465	140	257	289	310	473	464	359	478	611	729	828	1183
216	216	252	223	153	304	19	0	460	154	270	303	324	487	477	373	492	625	743	841	1197
267	267	321	248	339	165	465	464	0	530	647	679	700	716	730	749	795	953	1119	1218	1560
276	276	303	294	203	373	141	153	529	0	133	223	187	407	398	290	412	545	605	721	1117
392	392	419	410	319	488	257	269	644	131	0	231	61	523	513	165	528	608	480	596	1012
419	419	446	437	346	515	284	296	671	218	233	0	182	354	344	79	359	410	528	548	942
446	446	473	464	374	543	311	324	699	186	63	182	0	515	505	116	520	559	435	551	967
444	444	429	477	387	540	469	482	696	403	520	359	528	0	45	425	115	263	854	721	884
465	465	457	497	408	561	459	472	717	393	510	349	518	46	0	415	80	232	844	701	863
489	489	516	507	416	585	353	366	741	287	165	80	115	404	394	0	409	448	460	483	877
521	521	522	554	464	617	477	489	773	411	528	366	536	111	75	433	0	171	823	655	818
686	686	681	719	629	782	606	618	938	540	608	412	557	270	239	449	174	0	771	593	665
855	855	883	874	783	952	720	733	1108	595	472	522	430	853	843	457	825	774	0	396	914
981	981	1008	999	909	1078	846	858	1234	720	598	578	556	760	738	514	684	621	402	0	538
1279	1279	1297	1311	1220	1375	1158	1170	1560	1092	1017	962	974	883	860	897	807	654	920	541	0
