0	10	1	955.662
1	20	7	2154.99
2	18	14	1562.77
3	3	15	1116.42
4	7	16	1781.88
5	17	5	1451.21
6	17	8	1621.24
7	18	17	1453.04
8	19	15	1144.46
9	20	6	2015.4
10	15	1	1093.11
11	12	18	1014.56
12	20	11	1757.92
13	19	17	1268.51
14	20	6	1999.17
15	18	8	1834.02
16	9	8	1096.18
17	1	10	954.409
18	19	14	1396.67
19	20	4	2091.69
20	6	20	2017.97
21	9	13	982.379
22	4	12	931.203
23	18	15	1058.39
24	14	15	1013.28
25	8	17	1629.33
26	9	18	1219.93
27	15	3	1114.36
28	11	17	993.627
29	20	12	1744.11
30	8	11	1279.57
31	12	1	1017.05
32	17	3	1372.87
33	18	4	1578.19
34	10	14	1121.95
35	18	14	1563.37
36	4	12	931.591
37	14	18	1573.15
38	8	14	1364.21
39	16	20	1537.86
40	20	16	1540.74
41	17	18	1449.49
42	9	8	1098.03
43	20	8	2469.25
44	14	4	1013.74
45	16	15	1015.94
46	2	17	1496.9
47	9	16	1159.32
48	18	19	1125.34
49	1	9	974.398
50	18	20	1866.5
51	2	9	1007.2
52	3	19	1938.52
53	7	14	1233.78
54	20	8	2537.87
55	5	15	1379.28
56	17	6	1402.52
57	18	5	1829.34
58	9	17	1318.81
59	4	9	886.731
60	7	20	2193.49
61	4	13	1142.36
62	12	3	1203.77
63	15	17	1158.34
64	12	2	1212.02
65	1	6	898.341
66	10	6	957.803
67	10	14	1289.73
68	4	20	2269.9
69	12	4	1095.03
70	10	18	1235.21
71	16	15	1182.87
72	17	20	1501.35
73	13	9	1148.98
74	15	13	1162.67
75	12	9	860.278
76	10	3	1144.44
77	13	17	950.012
78	17	18	1616.87
79	18	13	1737.82
80	14	12	1304.72
81	12	11	874.087
82	3	14	1281.45
83	10	4	1036.67
84	13	1	1212.74
85	16	2	1307.66
86	11	19	1404.15
87	10	13	1298.44
88	13	15	1173.86
89	7	15	1106.45
90	20	7	2191.83
91	1	12	1189.2
92	17	4	1421.79
93	2	15	1286.8
94	17	1	1499.44
95	10	16	1307.86
96	6	13	1233.94
97	14	6	1238.01
98	12	19	1380.4
99	19	11	1401.83
