65	10	15	802.942 	 4
66	1	9	928.305 	 3
67	12	17	1245.27 	 4
68	11	4	1015.44 	 2
69	12	6	971.754 	 1
70	1	3	669.214 	 3
71	2	14	1195.3 	 1
72	5	4	817.338 	 2
73	8	2	966.297 	 2
74	13	4	1093.39 	 4
75	16	12	1262.78 	 3
76	11	9	855.776 	 3
77	1	12	1137.28 	 4
78	6	3	869.821 	 4
79	14	6	1191.19 	 4
80	5	2	796.324 	 3
81	17	8	1740.59 	 1
82	14	16	686.961 	 3
83	16	3	1312.14 	 3
84	2	10	1102.41 	 2
85	14	15	1131.38 	 2
86	9	14	1093.39 	 4
87	14	3	1246.32 	 3
88	4	2	724.783 	 4
89	13	11	1042.84 	 2
90	10	1	1075.55 	 3
91	7	3	847.64 	 3
92	14	5	1324.67 	 3
93	14	13	643.648 	 2
94	8	7	1124.05 	 3
95	16	1	1272.15 	 1
96	3	12	1161.81 	 4
97	1	5	727.378 	 4
98	8	6	1139.08 	 1
99	10	14	1245.26 	 2
100	11	14	1038.86 	 3
101	9	16	1113.43 	 3
102	17	14	866.192 	 4
103	17	3	1492.48 	 4
104	15	8	1504.4 	 3
105	17	11	1109.98 	 4
106	9	13	1105.16 	 3
107	15	5	1332.04 	 1
108	10	8	1364.03 	 4
109	7	12	984.904 	 2
110	12	3	1157.2 	 3
111	11	8	1394.07 	 1
112	2	8	959.43 	 2
113	1	6	846.563 	 1
114	1	13	1171.9 	 1
115	5	17	1577.55 	 4
116	16	4	1196.93 	 3
117	8	15	1503.94 	 4
118	16	13	725.819 	 2
119	8	11	1398.35 	 1
120	12	5	1254.11 	 1
121	13	2	1140.48 	 1
122	8	9	1214.73 	 2
123	9	10	756.981 	 3
124	4	14	1119.03 	 3
125	10	17	1310.5 	 2
126	6	4	766.738 	 3
127	5	9	1046.37 	 1
128	12	16	1261.72 	 4
129	6	7	613.084 	 1
130	16	2	1257.3 	 3
131	5	6	969.318 	 2
132	4	12	1054.61 	 3
133	15	4	1126.07 	 3
134	8	13	1463.11 	 2
135	2	7	892.203 	 2
136	13	5	1283.51 	 1
137	6	8	1137.43 	 1
138	1	16	1272.64 	 4
139	12	8	1425.42 	 4
140	10	16	1258.96 	 4
141	10	3	1095.29 	 4
142	6	10	908.587 	 3
143	9	12	819.513 	 4
144	13	7	1194.74 	 1
145	4	7	778.281 	 4
146	5	12	1256.77 	 4
147	8	12	1428.37 	 2
148	10	12	670.442 	 1
149	6	17	1352.01 	 2
150	1	17	1459.05 	 3
151	5	8	775.624 	 3
152	9	17	1270.96 	 4
153	6	11	944.054 	 3
154	5	3	703.539 	 3
155	13	3	1204.86 	 2
156	15	16	1125.38 	 4
157	2	12	1168.11 	 1
158	1	7	836.937 	 2
159	2	3	728.805 	 4
160	8	16	1560.89 	 1
161	5	16	1390 	 1
162	5	10	1194.43 	 3
163	17	16	786.441 	 1
164	17	15	1109.08 	 4
165	16	14	687.251 	 4
166	16	15	1135.88 	 2
167	12	7	979.416 	 4
168	11	7	947.447 	 2
169	12	9	818.549 	 3
170	1	8	895.541 	 2
171	4	13	1097.64 	 1
172	14	1	1205.65 	 3
173	16	9	1114.25 	 1
174	16	8	1560.45 	 3
175	9	2	957.245 	 1
176	6	2	883.946 	 1
177	4	15	1126.73 	 2
178	6	5	965.957 	 3
179	4	9	839.772 	 3
180	15	9	966.976 	 4
181	17	1	1451.13 	 3
182	8	14	1484.19 	 1
183	14	12	1256.32 	 4
184	3	15	1234.69 	 4
185	13	8	1455.02 	 3
186	15	11	700.829 	 4
187	1	14	1192.75 	 1
188	15	2	1242.98 	 4
189	3	1	666.413 	 2
190	6	13	1186.58 	 3
191	13	6	1186.54 	 1
192	12	1	1136.41 	 3
193	9	11	861.416 	 4
194	16	17	785.901 	 1
195	7	13	1197.39 	 1
196	5	11	1228.35 	 4
197	4	6	766.242 	 2
198	15	10	802.614 	 3
199	1	11	1109.09 	 1
