0	1	17	1483.25
1	3	7	729.882
2	11	2	1013.72
3	11	16	934.346
4	16	7	1084.58
5	16	6	1075.69
6	17	5	1555.15
7	11	3	1005.09
8	14	2	1059.35
9	12	14	1123.73
10	15	3	1116.15
11	14	3	1248.35
12	15	8	1515.56
13	12	6	1360.66
14	8	1	776.303
15	13	15	1006.09
16	11	10	768.953
17	2	13	1031.53
18	3	17	1379.31
19	3	13	1093.22
20	5	17	1591.57
21	15	1	1093.21
22	3	11	1012.71
23	17	5	1451.71
24	12	2	1044.75
25	11	17	994.668
26	7	10	799.146
27	8	3	757.577
28	7	2	757.938
29	17	8	1763
30	14	9	988.096
31	11	12	705.05
32	9	15	832.803
33	14	17	747.266
34	8	14	1484.19
35	14	8	1493.22
36	8	15	1503.94
37	15	8	1504.4
38	16	8	1560.45
39	8	16	1560.89
40	8	16	1478.54
41	4	8	858.286
42	15	8	1512.36
43	2	9	837.244
44	2	17	1472.68
45	12	8	1474.02
46	8	12	1477.55
47	13	8	1503.43
48	14	8	1540.62
49	15	8	1546.78
50	8	15	1548.04
51	17	9	1152.07
