0	0	63	65	85	109	212	218	265	276	393	426	447	462	476	495
0	0	63	65	85	109	212	218	265	276	393	426	447	462	476	495
62	62	0	121	114	164	247	259	320	308	425	458	479	423	455	527
63	63	118	0	111	88	229	224	244	294	410	443	464	495	510	513
81	81	111	106	0	177	142	153	334	203	320	352	373	407	421	422
111	111	165	92	183	0	310	307	165	374	491	524	545	560	574	593
213	213	243	231	144	309	0	19	465	140	257	289	310	473	464	359
216	216	252	223	153	304	19	0	460	154	270	303	324	487	477	373
267	267	321	248	339	165	465	464	0	530	647	679	700	716	730	749
276	276	303	294	203	373	141	153	529	0	133	223	187	407	398	290
392	392	419	410	319	488	257	269	644	131	0	231	61	523	513	165
419	419	446	437	346	515	284	296	671	218	233	0	182	354	344	79
446	446	473	464	374	543	311	324	699	186	63	182	0	515	505	116
444	444	429	477	387	540	469	482	696	403	520	359	528	0	45	425
465	465	457	497	408	561	459	472	717	393	510	349	518	46	0	415
489	489	516	507	416	585	353	366	741	287	165	80	115	404	394	0
